time,x,y
1.095,19.464,-7.7439
1.1,19.318,-7.6973
1.105,19.413,-7.8308
1.11,19.36,-7.8538
1.115,19.322,-7.6339
1.12,19.428,-7.8944
1.125,19.334,-7.674
1.13,19.249,-7.7841
1.135,19.314,-7.7493
1.14,19.337,-7.7436
1.145,19.43,-7.8189
1.15,19.431,-7.6972
1.155,19.471,-7.7898
1.16,19.368,-7.7498
1.165,19.366,-7.8593
1.17,19.323,-7.663
1.175,19.315,-7.5879
1.18,19.589,-8.0733
1.185,20.713,-8.0215
1.19,22.489,-7.8998
1.195,22.89,-7.4604
1.2,23.171,-7.4664
1.205,22.963,-7.4547
1.21,23.231,-7.3387
1.215,23.358,-7.4027
1.22,23.394,-7.53
1.225,23.499,-7.5585
1.23,23.66,-7.7035
1.235,23.568,-7.5991
1.24,23.557,-7.5006
1.245,23.513,-7.6048
1.25,23.425,-7.4313
1.255,23.513,-7.4718
1.26,23.466,-7.5121
1.265,23.473,-7.524
1.27,23.44,-7.5993
1.275,23.49,-7.6108
1.28,23.603,-7.6688
1.285,23.382,-7.5127
1.29,23.579,-7.6975
1.295,23.546,-7.5068
1.3,23.468,-7.6629
1.305,23.693,-7.7669
1.31,23.459,-7.5936
1.315,23.46,-7.6568
1.32,23.462,-7.5472
1.325,23.645,-7.6799
1.33,23.484,-7.6451
1.335,23.442,-7.6398
1.34,23.59,-7.6573
1.345,23.649,-7.7381
1.35,23.543,-7.5816
1.355,23.501,-7.7093
1.36,23.682,-7.9345
1.365,23.724,-7.8944
1.37,23.501,-7.5989
1.375,23.69,-7.952
1.38,23.53,-7.819
1.385,23.598,-7.8362
1.39,23.559,-7.7844
1.395,23.706,-7.7955
1.4,23.508,-7.6278
1.405,23.506,-7.7147
1.41,23.527,-7.8711
1.415,23.416,-7.6223
1.42,23.49,-7.7438
1.425,23.413,-7.6687
1.43,23.552,-7.7839
1.435,23.493,-7.5474
1.44,24.906,-8.0212
1.445,25.852,-7.6393
1.45,25.958,-7.1429
1.455,26.503,-7.3391
1.46,26.544,-7.1828
1.465,26.804,-7.362
1.47,26.789,-7.3215
1.475,26.92,-7.4199
1.48,26.963,-7.287
1.485,26.798,-7.4606
1.49,26.944,-7.2985
1.495,26.809,-7.3277
1.5,26.973,-7.2409
1.505,26.82,-7.2987
1.51,26.964,-7.4086
1.515,26.787,-7.4895
1.52,26.902,-7.4371
1.525,26.897,-7.3392
1.53,27.092,-7.3506
1.535,26.784,-7.2462
1.54,26.911,-7.241
1.545,27.028,-7.5699
1.55,26.96,-7.2692
1.555,26.837,-7.1712
1.56,26.932,-7.1945
1.565,26.938,-7.143
1.57,26.86,-7.2349
1.575,26.698,-7.3507
1.58,26.875,-7.2698
1.585,26.825,-7.2871
1.59,26.713,-7.1771
1.595,27.044,-7.5179
1.6,26.817,-7.148
1.605,26.819,-7.1657
1.61,26.868,-7.1598
1.615,26.784,-7.2349
1.62,26.777,-7.2118
1.625,26.789,-7.2987
1.63,26.868,-7.1655
1.635,26.881,-6.9344
1.64,28.08,-7.0442
1.645,29.439,-7.1544
1.65,30.065,-6.9518
1.655,29.956,-6.848
1.66,29.861,-6.9691
1.665,30.111,-6.8426
1.67,30.191,-6.7849
1.675,30.008,-6.7556
1.68,30.127,-7.0211
1.685,30.101,-6.8944
1.69,30.078,-6.8309
1.695,30.163,-6.7502
1.7,30.24,-6.8656
1.705,30.207,-6.7613
1.71,30.222,-6.779
1.715,30.119,-6.7788
1.72,30.315,-6.8309
1.725,30.179,-6.6924
1.73,30.305,-6.7902
1.735,30.135,-6.7438
1.74,30.207,-6.767
1.745,30.186,-6.7325
1.75,30.16,-6.8136
1.755,30.207,-6.7272
1.76,30.281,-7.1082
1.765,30.225,-6.8592
1.77,30.251,-6.9518
1.775,30.271,-6.9692
1.78,30.336,-7.0619
1.785,30.204,-6.9173
1.79,30.086,-6.733
1.795,30.256,-6.9345
1.8,30.161,-6.6115
1.805,30.426,-7.2698
1.81,30.197,-6.9056
1.815,30.24,-6.9752
1.82,30.266,-6.9695
1.825,30.31,-6.9579
1.83,30.227,-6.9695
1.835,30.238,-6.8536
1.84,30.186,-6.9119
1.845,30.176,-6.8541
1.85,30.137,-6.8825
1.855,30.287,-7.0097
1.86,30.179,-6.8077
1.865,30.303,-6.7554
1.87,30.217,-6.8248
1.875,30.171,-6.8828
1.88,30.354,-6.8708
1.885,30.318,-7.102
1.89,30.284,-6.8483
1.895,30.372,-6.9289
1.9,30.16,-7.0329
1.905,30.328,-7.0672
1.91,30.263,-7.1597
1.915,30.385,-7.218
1.92,30.46,-6.9755
1.925,30.4,-7.1943
1.93,30.302,-6.848
1.935,30.413,-7.0904
1.94,30.253,-6.7958
1.945,30.367,-7.0332
1.95,30.374,-7.0733
1.955,30.395,-7.0038
1.96,30.292,-6.86
1.965,30.233,-6.9351
1.97,30.356,-6.9924
1.975,30.496,-7.1656
1.98,30.253,-6.9979
1.985,30.424,-7.0215
1.99,30.23,-6.8134
1.995,30.245,-7.0731
2,30.382,-7.0038
2.005,30.106,-7.2059
2.01,28.099,-7.2525
2.015,25.534,-6.8709
2.02,23.454,-6.9408
2.025,21.927,-6.9807
2.03,19.637,-7.0847
2.035,17.527,-7.0676
2.04,15.077,-7.3042
2.045,12.895,-7.5411
2.05,10.426,-7.6914
2.055,8.4255,-7.9982
2.06,6.1538,-8.0623
2.065,4.0868,-7.9812
2.07,2.0042,-7.7031
2.075,0.05291,-8.1314
2.08,-1.9034,-8.3048
2.085,-3.8599,-8.5719
2.09,-5.3658,-8.711
2.095,-7.0799,-8.6354
2.1,-8.3805,-8.873
2.105,-9.6568,-9.007
2.11,-11.217,-9.1291
2.115,-12.617,-9.2153
2.12,-13.365,-9.6573
2.125,-14.125,-9.6804
2.13,-14.494,-9.7036
2.135,-14.61,-9.6862
2.14,-14.623,-9.6809
2.145,-14.779,-9.7217
2.15,-14.866,-9.8434
2.155,-14.798,-9.9367
2.16,-14.669,-9.8604
2.165,-14.826,-9.8956
2.17,-14.835,-10.041
2.175,-14.767,-10.024
2.18,-14.753,-10.099
2.185,-14.69,-10.071
2.19,-14.629,-9.9778
2.195,-14.626,-10.14
2.2,-14.732,-10.065
2.205,-14.76,-10.012
2.21,-15.074,-9.9134
2.215,-16.279,-9.9429
2.22,-17.302,-10.216
2.225,-17.813,-10.316
2.23,-18.321,-10.391
2.235,-18.601,-10.566
2.24,-18.307,-10.694
2.245,-17.77,-10.758
2.25,-17.856,-10.566
2.255,-18.176,-10.554
2.26,-18.297,-10.642
2.265,-18.017,-10.677
2.27,-18.161,-10.677
2.275,-18.26,-10.718
2.28,-18.053,-10.752
2.285,-18.119,-10.711
2.29,-18.111,-10.705
2.295,-18.011,-10.694
2.3,-18.075,-10.63
2.305,-18.061,-10.689
2.31,-18.067,-10.84
2.315,-18.073,-10.781
2.32,-18.005,-10.787
2.325,-18.044,-10.799
2.33,-18.065,-10.805
2.335,-18.005,-10.782
2.34,-17.981,-10.81
2.345,-18.008,-10.735
2.35,-18.097,-10.752
2.355,-18.07,-10.647
2.36,-18.123,-10.747
2.365,-18.082,-10.729
2.37,-17.996,-10.682
2.375,-18.05,-10.734
2.38,-18.162,-10.776
2.385,-18.013,-10.794
2.39,-18.149,-10.618
2.395,-18.164,-10.647
2.4,-18.142,-10.671
2.405,-18.12,-10.653
2.41,-18.041,-10.677
2.415,-18.029,-10.77
2.42,-18.106,-10.706
2.425,-18.109,-10.811
2.43,-18.116,-10.677
2.435,-18.154,-10.606
2.44,-18.128,-10.595
2.445,-18.098,-10.682
2.45,-17.98,-10.717
2.455,-17.957,-10.822
2.46,-17.628,-10.799
2.465,-17.046,-10.496
2.47,-16.864,-10.14
2.475,-17.047,-10.146
2.48,-17.416,-10.304
2.485,-17.398,-10.403
2.49,-17.238,-10.292
2.495,-17.212,-10.274
2.5,-17.102,-10.298
2.505,-17.019,-10.28
2.51,-17.014,-10.228
2.515,-17.015,-10.158
2.52,-17.043,-10.368
2.525,-17.041,-10.321
2.53,-17.049,-10.345
2.535,-17.057,-10.461
2.54,-17.034,-10.332
2.545,-17.099,-10.339
2.55,-17.119,-10.385
2.555,-17.042,-10.432
2.56,-17.088,-10.379
