time,x,y
4.93,29.164,-10.1
4.935,29.329,-10.012
4.94,29.267,-9.9539
4.945,29.362,-10.228
4.95,29.144,-9.9537
4.955,29.24,-10.088
4.96,29.224,-10.07
4.965,29.105,-9.9309
4.97,28.959,-10.035
4.975,29.072,-9.8491
4.98,29.076,-10.053
4.985,29.042,-10.03
4.99,28.937,-9.8318
4.995,29.167,-10.135
